Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Year,Explicit Content,Danceability,Energy,Loudness,Speechiness,Genre
6nM9Sr6MPcfpqwQTD7PZGi,Wrapped Up (feat. Travie McCoy),Olly Murs,Never Been Better (Deluxe),185640,0,2014,0,0.787,0.848,-4.696,0.0549,"dance pop, pop, talent show"
0ifSeVGUr7py5GggttDhXw,All About That Bass,Meghan Trainor,All About That Bass,188754,62,2014,1,0.811,0.879,-3.724,0.0514,"hip pop, pop"
3YFlemKQoaitlu4U1pQVgo,When The Beat Drops Out,Marlon Roudette,When The Beat Drops Out,204026,33,2014,0,0.379,0.647,-7.72,0.197,uk pop
2E4j2EPKgg5RlHkOXSPe8F,Jubel - Radio Edit,Klingande,Jubel EP,199133,29,2013,0,0.693,0.535,-7.288,0.034,"deep house, pop dance, tropical house"
2jsmSLoX8y0h6k4YzDCFH1,Nobody To Love - Radio Edit,Sigma,Nobody To Love,189720,61,2014,0,0.441,0.921,-3.32,0.0436,"dancefloor dnb, pop dance, uk dance"
2nzI2futOM8isgXNKAlQ1m,A Sky Full of Stars,Coldplay,A Sky Full of Stars,236379,54,2014,0,0.559,0.632,-7.132,0.028,"permanent wave, pop"
5wQeCrJTJxGZnILnyCBHjI,Lovers on the Sun (feat. Sam Martin),David Guetta,Lovers on the Sun EP,203520,53,2014,0,0.645,0.891,-2.505,0.0387,"big room, dance pop, edm, pop, pop dance"
023H4I7HJnxRqsc9cqeFKV,I Got U,Duke Dumont,I Got U,285596,72,2014,0,0.636,0.761,-7.752,0.035,"edm, house, pop dance, progressive house, uk dance"
5m5V4wLWTjwu1Kv5Gjgje5,Ain't Nobody - Loves Me Better,Anna Heartbeat,A'int Nobody (Loves Me Better),186355,37,2015,0,0.751,0.632,-9.636,0.0341,
61UQzeiIluhpzpMdY4ag3q,My Love (feat. Jess Glynne),Route 94,My Love (feat. Jess Glynne),259934,18,2014,0,0.814,0.622,-7.573,0.0492,"house, uk dance"
7GJClzimvMSghjcrKxuf1M,Budapest,George Ezra,Wanted on Voyage,200720,1,2014,0,0.714,0.451,-8.268,0.0276,"folk-pop, neo-singer-songwriter"
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),227833,75,2014,0,0.799,0.586,-6.735,0.0377,"pop, uk dance, uk funky"
614TxLN6BP9nN8pFcPdLVE,Sweet Lovin' - Radio Edit,Sigala,Sweet Lovin',202149,45,2015,0,0.683,0.91,-1.231,0.0515,"dance pop, edm, pop dance, uk dance"
2Pavqy0vPxGilGe0IIetdP,Geronimo,Sheppard,Geronimo,218227,0,2014,0,0.707,0.771,-6.275,0.0783,"australian indie, australian pop, folk-pop"
5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,Prayer in C,189413,78,2014,0,0.763,0.875,-5.797,0.0262,"french indie pop, french rock"
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,1989 (Deluxe),219200,85,2014,0,0.647,0.8,-5.384,0.165,pop
3Nbcx1svCSzmyYG2I81YCZ,Up (feat. Demi Lovato),Olly Murs,Never Been Better (Deluxe),224293,0,2014,0,0.69,0.845,-4.676,0.0339,"dance pop, pop, talent show"
